"https://kat.ag","HTTPSConnectionPool(host='kat.ag'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x0000013D287C91C8>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time; or established connection failed because connected host has failed to respond'))","['192.157.56.142']","16","['10.126.192.2'; '10.10.254.61'; '10.127.1.7'; '138.44.5.105'; '113.197.15.5'; '113.197.15.233'; '113.197.15.235'; '202.126.129.213'; '202.84.219.174'; '202.84.225.238'; '202.84.219.174'; '89.149.185.197'; '78.152.57.87'; '192.3.6.174'; '183.182.80.169'; '192.157.56.142']"
"https://ibit.to","200","['172.67.183.74'; '104.21.18.193']","4","['10.127.1.5'; '10.126.192.2'; '10.10.254.61'; '172.67.183.74']"
"https://onionplay.eu","200","['104.21.82.243'; '172.67.209.138']","4","['10.127.1.7'; '10.126.192.3'; '10.10.254.61'; '104.21.82.243']"
"https://onionplay-network.xyz/","HTTPSConnectionPool(host='onionplay-network.xyz'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x0000013D2883C648>: Failed to establish a new connection: [Errno 11002] getaddrinfo failed'))","[Errno 11002] getaddrinfo failed","1","['[Errno 11002] getaddrinfo failed']"
"https://onionplay.co/","200","['172.67.218.103'; '104.21.94.21']","7","['10.126.192.3'; '10.127.1.5'; '10.10.254.61'; '113.197.15.143'; '202.158.194.177'; '198.32.176.171'; '172.67.218.103']"
"https://proxyportal.org","403","['172.67.174.160'; '104.21.31.13']","4","['10.126.192.2'; '10.10.254.61'; '10.127.1.4'; '172.67.174.160']"
"https://proxyportal.ws/","403","['91.195.240.12']","16","['10.127.1.5'; '137.111.189.12'; '138.44.5.105'; '10.126.192.2'; '113.197.15.5'; '10.10.254.61'; '113.197.15.233'; '116.51.27.145'; '129.250.7.84'; '129.250.4.94'; '4.68.62.129'; '4.69.153.245'; '195.122.182.148'; '91.195.241.102'; '91.195.241.114'; '91.195.240.12']"
"https://p30download.com","200","['5.144.130.115']","18","['10.127.1.7'; '138.44.5.105'; '113.197.15.5'; '10.10.254.61'; '10.126.192.3'; '113.197.15.233'; '116.51.27.145'; '129.250.2.74'; '193.251.142.73'; '193.251.241.8'; '129.250.7.82'; '193.251.132.220'; '193.251.131.116'; '193.251.131.142'; '193.251.129.107'; '193.251.154.202'; '85.132.90.162'; '5.144.130.115']"
"https://torrentquest.com/","200","['104.21.77.215'; '172.67.211.230']","5","['10.126.192.3'; '10.10.254.61'; '10.127.1.5'; '198.32.176.171'; '104.21.77.215']"
"http://rutor.info/","HTTPSConnectionPool(host='rutor.info'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x0000013D287FBA48>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))","['91.132.60.13']","10","['10.126.192.3'; '10.127.1.7'; '10.10.254.61'; '138.44.5.105'; '198.32.176.70'; '202.158.194.177'; '195.22.211.209'; '91.132.60.13'; '89.221.39.9'; '91.132.60.13']"
